ID, Instructions
0," Place meatballs, cranberry sauce, chili sauce, lemon juice, and hot sauce in a slow cooker; stir to evenly distribute sauce.
 Cook on High until meatballs completely thawed and hot, about 3 hours.
"
1," Melt processed cheese in a slow cooker on Low.
 Cook and stir pork sausage in a large skillet over medium heat until browned and crumbly, about 10 minutes; drain excess grease.
 Mix sausage into processed cheese in the slow cooker. Stir in salsa, hot sauce, and jalapeño peppers.
 Cook on Low for 2 hours; serve hot.
 If you want a milder dip, use mild sausage and salsa and cut hot sauce down to 1/4 cup. I wouldn't eliminate the hot sauce because it really adds to the flavor.
"
2," Place pork in a slow cooker and add enough water to cover the bottom of the slow cooker.
 Cook on Low for 7 hours. Transfer pork to a bowl and shred with two forks. Return pork to slow cooker and stir in barbeque sauce. Continue to cook on Low for 45 minutes to 1 hour.
 Spoon a generous amount of pork into each roll to serve.
"
3," Place beef brisket in a slow cooker. Mix onion soup mix into beef broth in a small bowl; pour over brisket.
 Cook on Low 7 to 9 hours.
 Transfer brisket to a cutting board and cut into slices. Fill rolls with beef. Ladle juices from the slow cooker into 5 individual bowls to serve with sandwiches for dipping.
"
4," Place ham in a slow cooker.
 Mix pineapple chunks, mustard, honey, and garlic in a bowl. Spread over ham.
 Cook on Low until ham is easily shredded with 2 forks, 6 to 8 hours.
 Use canned pineapple rings instead of chunks if desired.
"
5," Whisk cream of mushroom soup, water, and dry onion soup mix in a slow cooker; stir meat into soup mixture. Cover and cook on Low until beef is tender, 6 to 8 hours, or on High for 4 hours. Test for doneness after 2 hours. Stir cream cheese into beef until smooth.
"
6," Put chicken breasts into the crock of a slow cooker; top with barbeque sauce, pineapple slices, and soy sauce.
 Cook on High for 4 to 5 hours.
"
7," Spread onion rings into the bottom of a slow cooker; place chicken on top, breast-side down. Pour salsa over chicken.
 Cook on High until no longer pink at the bone and the juices run clear, about 5 hours. An instant-read thermometer inserted into the thickest part of the thigh near the bone should read 165 degrees F (74 degrees C).
 Transfer chicken to a cutting board, cover with a doubled sheet of aluminum foil, rest in a warm area for 10 minutes before cutting.
 Aluminum foil helps keep food moist, ensures it cooks evenly, keeps leftovers fresh, and makes clean-up easy.
"
8," Spray slow cooker with nonstick cooking spray. Season roast with salt and pepper. Place meat in the pot, fat side up. Pour tomato sauce over roast. Place onion over top. Toss in bay leaves. Cover and cook for 1 hour on High.
 After 1 hour, reduce heat to Low and cook 6 to 8 more hours. Carefully lift meat out of the pot and remove to a warm platter.
 Pour drippings through a strainer into a medium-sized saucepan and discard material in the strainer. Whisk flour into the liquid. Cook, stirring constantly over medium heat until thickened. Season to taste with salt and pepper; serve alongside roast.
"
9," Gather all ingredients.
 Season ribs with salt and pepper.
 Pour 1/2 cup water into the slow cooker, then add ribs. Scatter onion and garlic over top. Cover and cook on Low for 8 hours or High for 4 hours.
 When the ribs are almost finished, preheat the oven to 375 degrees F (190 degrees C).
 Transfer ribs from the slow cooker to a baking sheet; discard onion and garlic. Coat ribs with barbeque sauce.
 Bake ribs in the preheated oven until sauce caramelizes and sticks to meat, 10 to 15 minutes.
"
10," Gather all ingredients.
 Layer green beans and potatoes in the bottom of a slow cooker. Add just enough water to barely cover. Top with salt pork.
 Cover and cook on Low until tender, 6 to 8 hours.
"
11," Place pinto beans into a large bowl and cover with several inches of water; soak at least 8 hours and up to 24 hours. Drain and rinse before using.
 Place soaked pinto beans, onion, garlic, and jalapeno peppers in a slow cooker; pour enough water over mixture to cover with several inches. Cook on Medium-Low, 4 to 6 hours. Season with salt and black pepper.
"
12," Put mushrooms, butter, and ranch salad dressing mix in a slow cooker.
 Cook on Low for 3 to 4 hours.
"
13," Turn slow cooker on High. Mix milk and sugar together in the crock of the slow cooker.
 Cook for 3 hours, stirring every 10 minutes in the last 30 minutes to prevent burning. Mix butter and vanilla extract into condensed milk and let cool.
 Don't worry about it not being thick enough it will get twice the thickness as it cools. It will last about 2 weeks in the fridge or 3 months in the freezer.
"
14," Layer apples in a slow cooker. Sprinkle cinnamon, cloves, and nutmeg over apples.
 Cook on High until apples are soft, 4 to 5 hours. Whisk apples vigorously for a chunkier-style applesauce. Puree with an immersion blender for a smoother applesauce.
"
15," Preheat a yogurt maker or slow cooker on Low according to manufacturer's instructions.
 Whisk milk and nonfat dry milk together in a saucepan over medium heat until almost boiling, about 4 minutes. Cool until lukewarm (100 to 110 degrees F/38 to 45 degrees C).
 Gently stir kefir into milk mixture until just combined; pour into yogurt containers or jars with airtight lids. Add to yogurt maker or slow cooker.
 Cook on Low until desired level of tartness and consistency is reached, 4 to 10 hours. Chill yogurt in the refrigerator at least 2 hours before serving.
"
16," Cook almond bark in a slow cooker on High, uncovered and stirring occasionally, until mostly melted, 5 to 10 minutes. Reduce the heat to Low and stir in chocolate chips. Cook and stir until chips are melted and mixture is dark in color, 5 to 10 minutes.
 Turn off the heat and stir in peanuts. Drop a spoonful onto a piece of parchment paper to test consistency; it should be thick and chunky. If it's too loose and runny, stir in more chocolate chips and peanuts.
 Line several baking sheets with parchment paper. Use a melon baller to drop spoonfuls peanut mixture onto the prepared baking sheets. Let harden before serving, about 1 hour.
"
17," Stir milk, sugar, tapioca, and eggs together in a slow cooker crock.
 Cook on Low, stirring once per hour, for 6 hours. Stir vanilla into the pudding.
"
