ID,Meal Name,Ingredients
0,Polar Express Hot Chocolate,"6 cups milk, or more to taste, 1 (14 ounce) can sweetened condensed milk, 1 ½ cups heavy whipping cream, 1 ½ cups bittersweet chocolate chips, 1 teaspoon vanilla extract, ⅛ teaspoon salt, "
1,Pumpkin Spice White Hot Chocolate,"1 cup milk, ¼ cup white chocolate chips, 1 teaspoon unsweetened cocoa powder, ¼ cup pumpkin puree, ½ teaspoon pumpkin pie spice, ¼ teaspoon vanilla extract, ¼ teaspoon ground cinnamon, "
2,Red Wine Hot Chocolate,"1 ½ cups half-and-half, divided, 4 ounces semisweet Belgian chocolate (43% cacao), 1 ½ teaspoons white sugar, ½ cup Cabernet Sauvignon, 1 pinch grated chocolate, "
3,Mexican-Style Hot Chocolate,"1 ½ cups cold water, ½ cup white sugar, ¼ cup unsweetened cocoa powder, 2 tablespoons all-purpose flour, 1 teaspoon ground cinnamon, ¼ teaspoon ground cloves, ¼ teaspoon salt, 6 cups whole milk, 1 tablespoon vanilla extract, "
4,Cioccolata Calda (Hot Chocolate Italian-Style),"3 tablespoons cocoa powder, 1 ½ tablespoons white sugar, 1 ½ cups milk, 2 tablespoons milk, 1 tablespoon cornstarch, "
5,Minty Eggnog Hot Chocolate,"1 ½ cups milk, ½ cup eggnog, 1 (1 ounce) square semi-sweet chocolate, ¾ cup mint-chocolate baking pieces (such as Andes®), "
6,Dairy-Free Hot Chocolate,"2 cups rice milk, ½ cup vegan chocolate chips, 1 teaspoon vanilla extract, "
7,Candy Cane Cocoa,"4 cups milk, 3 (1 ounce) squares semisweet chocolate, chopped, 4  peppermint candy canes, crushed, 1 cup whipped cream, 4  small peppermint candy canes, "
8,Coconut Milk Hot Chocolate,"1 cup light coconut milk, 1 (1 ounce) square dark chocolate, chopped, 1 ½ teaspoons white sugar, ⅛ teaspoon curry powder, "
9,Dark Chocolate Hot Cocoa,"1 cup whole milk, 1 ½ teaspoons brown sugar, or to taste, 2 ounces dark chocolate (70% or more cocoa butter), or to taste, 1 tablespoon heavy whipping cream, or more to taste, 1 pinch ground cinnamon, or more to taste, "
10,Creamy Homemade Hot Cocoa,"¾ cup white sugar, or to taste, ⅓ cup unsweetened cocoa powder, 1 pinch salt, ⅓ cup boiling water, 3 ½ cups milk, ¾ teaspoon vanilla extract, ½ cup half-and-half cream, "
11,Coconut Hot Cocoa,"1 cup vanilla-flavored coconut milk beverage (such as Silk®), 2 tablespoons cocoa powder, 1 tablespoon white sugar, ¼ teaspoon vanilla extract, ¼ teaspoon ground cinnamon, "
12,Maple Syrup Hot Chocolate,"1 cup fat-free milk, 2 teaspoons maple syrup, 1 ½ teaspoons cocoa powder, "
13,Frozen Hot Chocolate,"1 cup crushed ice, 1 cup milk, 1 (1 ounce) envelope instant hot chocolate mix, "
15,Best Slow Cooker Hot Chocolate,"6 cups milk, 2 cups semisweet chocolate chips, 1 ½ cups heavy whipping cream, 1 (14 ounce) can sweetened condensed milk, 1 teaspoon vanilla extract, "
16,Mayan Hot Chocolate,"1 cup milk, 3 tablespoons instant hot chocolate mix, 1 teaspoon ground cinnamon, 1 pinch cayenne pepper, "
17,Hawaiian Hot Chocolate,"3 cups half-and-half, 1 cup 2% milk, ½ cup white sugar, ½ cup unsweetened cocoa powder, 1 tablespoon vanilla extract, 1 tablespoon coconut extract, ½ teaspoon kosher salt, ½ cup whipped cream, or more to taste, ¼ cup toasted, shredded coconut, "
18,Secret Simple Hot Chocolate,"⅔ cup milk, ¼ cup white sugar, 2 teaspoons chocolate syrup, "
19,Chocolate Bar Hot Chocolate,"1 (1.55 ounce) bar milk chocolate, chopped, ⅔ cup milk, or more to taste, 1 pinch ground cinnamon, "
19,Pink Summer Beer ,"1 (12 fluid ounce) can frozen pink lemonade concentrate, thawed, 12 fluid ounces water, 12 fluid ounces vodka, 1 (12 fluid ounce) can or bottle beer, "
20,Flaming Doctor Pepper,"1 cup beer, 1 fluid ounce amaretto liqueur, ¼ fluid ounce 151 proof rum, "
21,Summer Beer,"4 cups ice cubes, 1 (6 ounce) can frozen lemonade concentrate, 1 (12 fluid ounce) can or bottle beer, 12 fluid ounces vodka, "
22,Beergarita,"6 (12 fluid ounce) cans or bottles beer, 1 (12 fluid ounce) can frozen limeade concentrate (such as Minute Maid®), 12 fluid ounces tequila, 6 cups ice cubes, "
23,"Hop, Skip, and Go Naked","6 (12 fluid ounce) cans or bottles beer, 1 (12 fluid ounce) can frozen lemonade concentrate, 1 pint whiskey, "
24,Micheladas with Tajin,"1  lime, juiced, 1 teaspoon chile-lime seasoning (such as Tajin®), or more to taste, ice, ½ cup tomato juice cocktail (such as Clamato®), chilled, 1 tablespoon chamoy (Mexican chili fruit condiment), 1 teaspoon hot pepper sauce (such as Tapatio®), 1 teaspoon Worcestershire sauce, 1 teaspoon soy sauce, ¼ teaspoon cayenne pepper, 1 (12 fluid ounce) can or bottle dark beer (such as Dos Equis XX Cerveza), "
25,Stout and Ale,"1 (12 fluid ounce) bottle lager beer (such as Harp®), 1 (12 fluid ounce) can or bottle Irish stout beer (such as Guinness®), "
26,Coronarita,"2 (12 fluid ounce) cans or bottles lemon-lime soda, or more to taste, 1 (12 ounce) bottle Mexican beer (such as Corona®), 1 (12 fluid ounce) can frozen limeade concentrate, 12 fluid ounces tequila, ice, 2 leaves mint, chopped, or more to taste, "
27,Joe's Famous Michelada,"coarse salt for rim of mug, or as needed, ice cubes, ¼ teaspoon salt, 1  lemon, juiced, 1 dash hot pepper sauce (such as Tabasco®), or to taste, ½ teaspoon soy sauce, 1 ½ cups tomato and clam juice cocktail (such as Clamato®), or as needed, ½ cup cold beer, "
28,"Chef John's ""Sunset"" Michelada","2 pints sweet cherry tomatoes, ¼ cup chopped celery, ¼ cup chopped red bell pepper, salt and ground black pepper to taste, ½ teaspoon flake sea salt (such as Maldon®), 1 pinch freshly ground black pepper, 1 pinch dried red chile pepper, 1  lime, halved, ice cubes, ½ teaspoon Worcestershire sauce, ½ teaspoon hot pepper sauce, ⅛ teaspoon soy sauce, 1/4 cup homemade vegetable juice, ½ (12 fluid ounce) bottle ice-cold Mexican lager, "
29,Tajin® Michelada,"1 teaspoon chili-lime seasoning (such as Tajin®), ½  lime, cut into 2 wedges, ice as needed, ¾ teaspoon soy-based liquid seasoning (such as Maggi® Jugo), ¾ teaspoon Mexican-style hot sauce (such as Valentina®), 3 fluid ounces tomato and clam juice cocktail (such as Clamato®), 1 (12 fluid ounce) bottle light Mexican beer (such as Modelo®), "
30,A Michelada for All (Vegan and Gluten Free),"Sriracha salt as needed, ½ cup ice cubes, or as needed, 1 cup chilled tomato juice, 1 medium lime, juiced, ½ teaspoon vegan Worcestershire sauce, ¼ teaspoon smoked salt, ⅛ teaspoon celery seed, ⅛ teaspoon coarsely ground black pepper, 2 dashes aromatic bitters (such as Angostura), 1 dash hot pepper sauce (such as Tabasco), or to taste, 1 pinch habanero powder, 1 cup gluten-free beer, "
31,Homemade Coffee Creamer (Pumpkin Spice),"14 ounces heavy whipping cream, divided, ¼ cup maple syrup, 3 tablespoons pumpkin puree, 1 teaspoon pumpkin pie spice, 1 teaspoon vanilla extract, 1 (14 ounce) can sweetened condensed milk, "
32,Paleo and Vegan Pumpkin Spice Creamer,"1 (14 ounce) can coconut milk, 3 tablespoons pumpkin puree, 3 tablespoons maple syrup, 3 tablespoons flax milk, 1 teaspoon pumpkin pie spice, "
33,Homemade Irish Cream,"1 (14 ounce) can sweetened condensed milk, 1 ⅔ cups Irish whiskey, 1 cup heavy cream, 2 tablespoons chocolate syrup, 1 teaspoon instant coffee granules, 1 teaspoon vanilla extract, 1 teaspoon almond extract, "
34,Homemade Vanilla Coffee Creamer,"1 pint fat-free half-and-half, 1 (14 ounce) can fat-free sweetened condensed milk, 1 teaspoon cinnamon, 1 teaspoon vanilla extract, "
35,Homemade Cinnamon Coffee Creamer,"1 (14 ounce) can fat-free sweetened condensed milk, 1 ½ cups unsweetened plain almond milk, 2 teaspoons ground cinnamon, 1 teaspoon vanilla extract, 1 teaspoon almond extract, "
36,Homemade Amaretto Coffee Creamer,"1 cup milk, 1 cup heavy cream, ¾ cup white sugar, 2 teaspoons amaretto extract, 1 teaspoon vanilla extract, 1/4 teaspoon cinnamon extract, "
