ID, Instructions
0," Combine milk, sweetened condensed milk, cream, chocolate chips, vanilla extract, and salt together in a large pot over low heat; cook, stirring constantly, until chocolate is melted, 30 to 40 minutes. Taste and add more milk to adjust flavor if desired.
"
1," Combine milk, chocolate chips, and cocoa powder in a saucepan over medium heat. Bring a simmer, stirring constantly until chips are melted, about 5 minutes. Add pumpkin puree, pumpkin pie spice, vanilla extract, and cinnamon; whisk until well combined and heated through, 2 to 3 minutes.
 Use any type of milk, dairy or non-dairy.
 You can also mix using an immersion blender.
"
2," Combine 1 cup half-and-half and Belgian chocolate in a small saucepan over medium-low heat. Cook, stirring occasionally with a whisk, until chocolate is melted and mixture is hot, about 5 minutes. Add Cabernet Sauvignon and heat for 2 minutes more, whisking occasionally, until hot. Divide into 2 mugs.
 Heat remaining 1/2 cup of half-and-half either on the stove or in the microwave until hot. Transfer to a milk frother and froth until creamy. Divide frothed half-and-half between the 2 mugs and sprinkle with grated chocolate.
 If you don't have a milk frother, you can place the heated half and half in a glass jar with a lid. Place lid on tightly and shake until frothy. Another option is to whisk the hot half and half vigorously with a whisk, until frothy.
"
3," Whisk cold water, sugar, cocoa powder, flour, cinnamon, cloves, and salt in a saucepan until smooth. Place over low heat; bring to a simmer, whisking constantly, until mixture is thickened and hot, about 4 minutes. Stir in milk; heat until hot chocolate just forms bubbles around the edge. Mix vanilla extract into hot chocolate. Blend until smooth with an immersion blender to make the drink slightly frothy.
"
4," Mix the cocoa powder and sugar together in a small saucepan. Stir the 1 1/2 cups milk into the saucepan until the sugar has dissolved. Place over low heat; slowly bring the mixture to a low simmer.
 Whisk 2 tablespoons of milk together with the cornstarch in a small cup; slowly whisk the cornstarch slurry into the cocoa mixture. Continue cooking, whisking continually, until the hot chocolate reaches a pudding-like thickness, 2 to 3 minutes.
"
5," Heat milk and eggnog together in a saucepan over medium-low heat until heated through, about 5 minutes. Stir in chocolate and mint-chocolate baking pieces; cook until chocolate is melted and smooth, 5 to 10 more minutes. Pour into 2 mugs.
"
6," Combine rice milk, chocolate chips, and vanilla extract in a saucepan over medium heat. Whisk until the chocolate chips are melted and the mixture is hot, about 5 minutes.
 Add a chai tea bag to the saucepan for a chai-spiced hot chocolate.
 Coconut milk, soy milk, or almond milk may be used in place of rice milk, if preferred.
"
7," In a saucepan, heat milk until hot, but not boiling. Whisk in the chocolate and crushed peppermint candies until melted and smooth.
 Pour hot cocoa into four mugs, and garnish with whipped cream. Serve each with a candy-cane stirring stick.
"
8," Heat coconut milk in a saucepan over medium-low heat until warm, 3 to 5 minutes. Add chocolate and sugar; whisk until incorporated and chocolate is melted. Pour mixture into a blender and add curry powder. Cover and hold lid down with a potholder; blend until smooth, about 15 seconds.
"
9," Heat milk in a saucepan over medium heat until just before boiling, 3 to 4 minutes. Add brown sugar and stir until dissolved, about 1 minute. Stir dark chocolate into milk until melted, 2 to 3 minutes.
 Remove saucepan from heat and stir cream and cinnamon into milk mixture. Serve hot.
"
10,"  Gather the ingredients.
 Combine sugar, cocoa powder, and salt in a saucepan; add boiling water and whisk until smooth. Bring mixture to a simmer, stirring continuously to prevent scorching, and cook for 2 minutes.
 Stir in milk and heat until very hot without boiling.
 Remove from heat; add vanilla.
 Add cream to each mug to help cool cocoa to drinking temperature then divide hot cocoa between 4 mugs.
 Serve hot and enjoy!
"
11," Stir coconut milk beverage, cocoa powder, sugar, vanilla extract, and cinnamon together in a saucepan over medium heat until cocoa and sugar are completely dissolved and mixture is heated through, 5 to 10 minutes. Pour hot cocoa into a mug.
 You can use any variety of milk (soy, rice, coconut, dairy).
 If you are using an unsweetened milk base, add additional sugar to taste.
"
12," Bring milk to a boil in a small saucepan. Add maple syrup and cocoa powder, stirring occasionally, until completely dissolved.
"
13," Blend ice, milk, and hot chocolate mix together in a blender until smooth.
"
15," Combine milk, chocolate chips, cream, condensed milk, and vanilla in a slow cooker.
 Cover and cook on Low, stirring occasionally, until chocolate chips are melted and mixture is smooth, about 2 hours.
"
16," Mix the hot chocolate mix, cinnamon, and cayenne pepper together in a mug.
 Pour the milk into a glass measuring cup; heat in microwave on High until it begins to boil, about 2 minutes. Slowly pour over the mixture in the mug, stirring with a small whisk as you pour. Enjoy immediately.
"
17," Whisk half-and-half, milk, sugar, and cocoa powder in a saucepan over medium-high heat until cocoa and sugar dissolve. Remove from heat when mixture begins to steam, 5 to 10 minutes.
 Whisk vanilla extract, coconut extract, and salt into cocoa mixture. Pour into glasses and top each with whipped cream and toasted coconut.
 Can substitute coconut emulsion for coconut extract. Coconut emulsion pairs well with cocoa better than coconut extracts that I have tried. Likely due to less alcohol in the emulsion. The emulsion I use has a strong flavor, and recipes may need to be adjusted based on flavor and your preference.
 Add 1 to 2 tablespoons coconut rum to each mug before serving to make an adult version of this hot chocolate.
"
18," Stir milk and sugar together in a microwave-safe glass or mug. Microwave until hot, about 2 minutes. Stir in chocolate syrup until completely incorporated.
"
19," Gather all ingredients.
 Place chocolate pieces in a saucepan over medium-low heat; add milk and whisk constantly until chocolate is melted and well blended, about 5 minutes. Whisk in cinnamon. Remove from heat; add more milk if desired. Serve in a mug.
"
19," Place lemonade concentrate in a gallon pitcher. Measure water and vodka in the 12 ounce lemonade can and add to the pitcher. Pour in the beer, mix well and serve over ice.
"
20," Fill a pint glass half full with beer.
 Pour amaretto into a standard shot glass; pour rum on top so that it floats.
 Light the shot on fire; carefully drop the lit shot into the half-full glass of beer and drink.
"
21," Crush ice in a blender. Pour in the lemonade concentrate, beer, and vodka. Blend until smooth. Pour into frozen glasses.
"
22," Pour beers into a large pitcher. Add limeade; stir to combine. Use limeade can to measure out tequila; pour into pitcher and stir to combine. Serve over ice.
"
23," In a gallon container, combine beer, lemonade concentrate and whiskey. Stir and serve over ice.
"
24," Rub lime juice around the rim of a glass and dip in chile-lime seasoning. Fill with ice.
 Combine tomato juice cocktail, chamoy, hot sauce, Worcestershire, soy sauce, and cayenne. Mix well and pour over ice. Fill the glass with beer.
"
25," Divide lager beer evenly between 2 tall beer glasses.
 Working with one glass at a time, place a large tablespoon, dome-side up, 1 inch or so above lager beer, with the tip of the spoon pointed slightly downward.
 Slowly pour 1/2 of the stout beer over the tablespoon so it gently pours down the side of the glass in a thick trickle. Allow to stand until 2 distinct layers of beer form, 3 to 5 seconds. Repeat with the remaining glass of beer.
"
26," Pour lemon-lime soda, Mexican beer, and frozen limeade concentrate into a large pitcher. Use the empty limeade can to measure tequila; pour it into the pitcher. Mix well to combine.
 Serve over ice garnished with chopped mint.
 Blend ice into the drink if preferred.
"
27," Dip the rim of a chilled 1-pint mug or schooner into coarse salt, and fill the mug with ice cubes. Add 1/4 teaspoon of salt, lemon juice, hot pepper sauce, and soy sauce. Pour in the tomato and clam juice cocktail, top up the mug with beer, and stir gently. As you drink, you can keep topping up your mug with more beer.
 We usually prepare this with Miller Lite. A nice cold michelada is great on summer days out by the BBQ grill!
"
28," Place cherry tomatoes, celery, and red bell pepper into a blender. Pulse a few times to get mixture moving. Blend on high until mixture has liquefied, a few more seconds. Place strainer over a bowl and strain mixture to remove seeds and skins. Push mixture through strainer with a spatula to extract the liquid. Season with salt and pepper.
 Sprinkle flake salt, black pepper, and chili pepper on a small plate. Rub rim of a glass with cut surface of a lime. Invert glass and dip rim into salt mixture.
 Fill glass with ice and add Worcestershire sauce, hot sauce, and soy sauce. Pour in the vegetable juice and juice of 1/2 lime. Fill the glass 3/4 of the way with ice-cold beer. Stir. Top off with more beer. Garnish with lime slice.
 The magazine version of this recipe adjusts the seasoning and lime juice amounts to make 6 drinks.
 If not using vegetable juice immediately, cover with plastic wrap and refrigerate. It may need stirring if it settles.
 The recipe for vegetable juice yields about 3 cups. Nutrition data for this recipe includes the full amount of juice. The actual amount consumed in one drink will vary.
"
29," Pour Tajin® onto a small plate. Run 1 lime wedge around the edge of a pint glass, then invert glass onto the plate to create a salt rim.
 Fill glass about halfway with ice. Squeeze the same lime wedge into the glass. Add Maggi® Jugo, hot sauce, and any remaining Tajin® from the plate and stir with a spoon. Pour in tomato and clam juice cocktail and top with beer. Garnish with remaining lime wedge and serve immediately.
"
30," Pour Sriracha salt onto a small, shallow plate. Moisten rim of a chilled, 1-pint mug; dip into Sriracha salt. Add ice cubes to mug until one-fourth full.
 Place 2 ice cubes in a cocktail shaker; add tomato juice, lime juice, Worcestershire sauce, smoked salt, celery seed, black pepper, bitters, hot pepper sauce, and habanero powder. Cover and shake until the outside of the shaker has frosted.
 Pour tomato juice mixture into the mug; top with beer, stirring gently to combine. Top mug with more beer as you drink cocktail.
 Make sure your tomato juice and Worcestershire sauce are both vegan and gluten free. Choose a pale, gluten-free beer.
"
31," Whisk 4 ounces cream, maple syrup, pumpkin puree, pumpkin pie spice, and vanilla extract together in a microwave-safe bowl. Heat pumpkin mixture in the microwave in 30-second intervals, stirring between intervals, until heated through and completely blended, 1 to 3 minutes.
 Pour sweetened condensed milk, remaining 10 ounces cream, and pumpkin mixture into a container, cover the container with a lid, and shake until completely mixed. Store in the refrigerator.
"
32," Whisk coconut milk, pumpkin puree, maple syrup, flax milk, and pumpkin pie spice together in a bowl; pour into a mason jar or container with a lid. Cover and gently shake before using. Store in refrigerator.
 The flax milk can be replaced with any non-dairy milk.
"
33," Gather all ingredients.
 Combine sweetened condensed milk, Irish whiskey, heavy cream, chocolate syrup, coffee granules, vanilla, and almond extract in a blender. Blend on high speed until incorporated, 20 to 30 seconds. Store in a tightly sealed container in the refrigerator.
 Shake well before serving.
"
34," Combine half-and-half and condensed milk in a small pot over medium-low heat; warm until steaming. Add cinnamon and vanilla extract. Heat for 5 more minutes, being careful not to boil.
 Remove from heat and let stand for 5 minutes. Pour in a glass container and store in the refrigerator for up to 10 days.
"
35," Mix together condensed milk, almond milk, cinnamon, vanilla, and almond extract in a jar until well blended.
"
36," Combine milk, heavy cream, and sugar in a small pot over low heat. Cook until steam appears, about 10 minutes. Turn off heat and stir in amaretto, vanilla, and cinnamon extracts. Allow to cool before transferring to a sealed container. Refrigerate until ready to use.
 Sugar can be adjusted to personal taste. I tend to like my coffee sweeter, so if you prefer less sweet, then reduce the sugar. Servings are also dependent on how much is used per cup of coffee.
"
37," Combine milk, whipping cream, and stevia in a saucepan over medium-low heat. Heat until bubbles start to appear on the outer edges of the saucepan, 5 to 7 minutes; do not boil. Remove from the heat and stir in vanilla and peppermint extracts.
"
38," Put coconut milk, syrup, and vanilla extract in a glass jar with a lid. Shake to mix.
 If you like really sweet creamer just add more maple syrup.
"
39," Whisk sweetened condensed milk and milk together in a bowl; pour into a blender. Add 1/2 banana and blend for 1 to 2 minutes. Add another 1/2 banana; blend. Repeat until all 1/2 bananas are used and creamer is smooth.
 Substitute cream, nonfat milk, whole milk, soy milk, or almond milk for the milk, if desired.
 For added banana flavor, add 1 half of a banana at a time until flavor suits you.
"
40," Combine condensed milk, milk, and vanilla extract in a blender; blend until smooth.
"
41," Whisk or blend half-and-half, condensed milk, vanilla extract, almond extract, and salt together until well incorporated and smooth.  Refrigerate until ready to serve.
"
42," Place coffee, sugar, and water, in that order, in a tall glass. Using a hand-held milk frother, froth mixture until light and fluffy, 1 to 3 minutes.
 Add ice cubes to the glass, then pour milk over top.
"
43," Whisk or blend half-and-half, condensed milk, peppermint extract, vanilla extract, and cocoa powder together until well incorporated and smooth.  Refrigerate until ready to serve.
"
44," Swirl pistachio cream into a glass. Using a straw, push cream down and around. Add milk. Fill glass to within 1 inch of rim with ice. Pour in espresso.
"
45," Gather all ingredients.
 Stir together coffee grounds, sugar, cinnamon stick, and vanilla bean paste in an 8- to 12-ounce canning jar. Let stand, covered, at room temperature 8 hours.
 Stir in boiling water. Set a sieve over a small bowl; add a coffee filter to sieve. Pour coffee mixture over filter; let stand until liquid has passed through. Discard solids.
 Pour liquid into a pint-size sealable bottle or canning jar with a lid and add rum; shake to combine. Chill, covered. Shake before serving. Sip as a liqueur or use in cocktails.
"
46," Gather all ingredients.
 Stir brewed espresso and simple syrup together in a small pitcher. Pour mixture into ice cube trays and freeze for 8 hours or overnight.
 Pour vodka, Kahlúa, and Frangelico into a blender. Add in the espresso ice cubes, and blend until smooth.
 Pour frozen mixture into 4 martini glasses. Lightly dust the martini with black onyx cocoa powder. Enjoy!
"
